Name,Height (m),Height (ft),Fell group,Latitude,Longitude
Helvellyn,950,3117,Eastern,54.5272,-3.0161
Nethermost Pike,891,2923,Eastern,54.5189,-3.0164
Catstycam,890,2920,Eastern,54.5333,-3.0092
Raise,883,2897,Eastern,54.5469,-3.0139
Fairfield,873,2864,Eastern,54.4969,-2.9906
White Side,863,2831,Eastern,54.5403,-3.0264
Dollywaggon Pike,858,2815,Eastern,54.5081,-3.0117
Great Dodd,857,2812,Eastern,54.5753,-3.0194
Stybarrow Dodd,843,2766,Eastern,54.5611,-3.0175
St Sunday Crag,841,2759,Eastern,54.5128,-2.9761
Hart Crag,822,2697,Eastern,54.4931,-2.9772
Dove Crag,792,2598,Eastern,54.485,-2.9678
Watson's Dodd,789,2589,Eastern,54.5672,-3.0286
Red Screes,776,2546,Eastern,54.47,-2.9333
Great Rigg,766,2513,Eastern,54.4847,-2.9972
Hart Side,756,2480,Eastern,54.5694,-2.9931
Seat Sandal,736,2415,Eastern,54.4944,-3.0158
Clough Head,726,2382,Eastern,54.5933,-3.0339
Birkhouse Moor,718,2356,Eastern,54.5353,-2.9844
Sheffield Pike,675,2215,Eastern,54.555,-2.9786
High Pike,656,2152,Eastern,54.47,-2.9681
Middle Dodd,654,2146,Eastern,54.4781,-2.9322
Little Hart Crag,637,2090,Eastern,54.4817,-2.9475
Birks,622,2041,Eastern,54.52,-2.9561
Heron Pike,612,2008,Eastern,54.465,-2.9967
Hartsop above How,570,1870,Eastern,54.4994,-2.9542
Great Mell Fell,537,1762,Eastern,54.62,-2.9331
High Hartsop Dodd,519,1703,Eastern,54.4889,-2.9386
Low Pike,508,1667,Eastern,54.4608,-2.9686
Little Mell Fell,505,1657,Eastern,54.6078,-2.8947
Stone Arthur,500,1640,Eastern,54.4747,-3.0078
Gowbarrow Fell,481,1578,Eastern,54.5889,-2.9175
Nab Scar,450,1476,Eastern,54.4569,-2.9961
Glenridding Dodd,442,1450,Eastern,54.5489,-2.9583
Arnison Crag,433,1421,Eastern,54.5267,-2.9394
High Street,828,2717,Far Eastern,54.4919,-2.865
High Raise,802,2631,Far Eastern,54.5131,-2.8511
Rampsgill Head,792,2598,Far Eastern,54.5075,-2.8617
Thornthwaite Crag,784,2572,Far Eastern,54.4831,-2.8783
Kidsty Pike,780,2559,Far Eastern,54.5056,-2.8556
Harter Fell,778,2552,Far Eastern,54.4761,-2.835
Caudale Moor,763,2503,Far Eastern,54.4819,-2.9014
Mardale Ill Bell,760,2493,Far Eastern,54.4842,-2.8536
Ill Bell,757,2484,Far Eastern,54.4625,-2.8717
The Knott,739,2425,Far Eastern,54.5064,-2.8725
Kentmere Pike,730,2395,Far Eastern,54.4628,-2.8269
Froswick,720,2362,Far Eastern,54.4686,-2.8733
Branstree,713,2339,Far Eastern,54.4828,-2.8086
Yoke,706,2316,Far Eastern,54.4511,-2.8689
Gray Crag,699,2293,Far Eastern,54.4975,-2.8861
Rest Dodd,696,2283,Far Eastern,54.5153,-2.8789
Loadpot Hill,671,2201,Far Eastern,54.5553,-2.8411
Wether Hill,670,2198,Far Eastern,54.5419,-2.8389
Tarn Crag,664,2178,Far Eastern,54.4631,-2.7869
Place Fell,657,2156,Far Eastern,54.5439,-2.9211
Selside Pike,655,2149,Far Eastern,54.4953,-2.7936
Grey Crag,638,2093,Far Eastern,54.4578,-2.7775
Hartsop Dodd,618,2028,Far Eastern,54.4981,-2.9094
Shipman Knotts,587,1926,Far Eastern,54.4494,-2.8158
The Nab,576,1890,Far Eastern,54.5289,-2.8761
Angletarn Pikes,567,1860,Far Eastern,54.525,-2.9083
Brock Crags,561,1841,Far Eastern,54.5153,-2.8989
Arthur's Pike,533,1749,Far Eastern,54.5778,-2.8353
Bonscale Pike,524,1719,Far Eastern,54.5731,-2.8478
Sallows,516,1693,Far Eastern,54.4283,-2.8694
Beda Fell,509,1670,Far Eastern,54.5458,-2.8872
Wansfell,488,1601,Far Eastern,54.4378,-2.9219
Sour Howes,483,1585,Far Eastern,54.4211,-2.8844
Steel Knotts,432,1417,Far Eastern,54.555,-2.8675
Hallin Fell,388,1273,Far Eastern,54.5706,-2.8764
Troutbeck Tongue,364,1194,Far Eastern,54.4497,-2.8928
High Raise,762,2500,Central,54.4761,-3.1131
Sergeant Man,736,2415,Central,54.4706,-3.1033
Harrison Stickle,736,2415,Central,54.4569,-3.1106
Ullscarf,726,2382,Central,54.5003,-3.0947
Thunacar Knott,723,2372,Central,54.4614,-3.1139
Pike of Stickle,709,2326,Central,54.4558,-3.1228
Pavey Ark,700,2297,Central,54.4614,-3.1044
Loft Crag,680,2231,Central,54.4542,-3.1167
High Seat,608,1995,Central,54.5519,-3.1039
Bleaberry Fell,590,1936,Central,54.5656,-3.1072
Sergeant's Crag,571,1873,Central,54.4928,-3.1222
Steel Fell,553,1814,Central,54.4917,-3.0528
Tarn Crag,550,1804,Central,54.4731,-3.0761
Blea Rigg,541,1775,Central,54.4608,-3.0783
Calf Crag,537,1762,Central,54.485,-3.0789
High Tove,515,1690,Central,54.5397,-3.1019
Eagle Crag,525,1722,Central,54.4989,-3.1208
Armboth Fell,479,1572,Central,54.5333,-3.0878
Raven Crag,461,1512,Central,54.5597,-3.0778
Great Crag,450,1476,Central,54.5222,-3.1308
Gibson Knott,420,1378,Central,54.4797,-3.0525
Grange Fell,415,1362,Central,54.5444,-3.1325
Helm Crag,405,1329,Central,54.4756,-3.04
Silver How,395,1296,Central,54.4503,-3.0425
Walla Crag,376,1234,Central,54.5808,-3.1217
High Rigg,357,1171,Central,54.5883,-3.0722
Loughrigg Fell,335,1099,Central,54.4372,-3.0083
Scafell Pike,978,3209,Southern,54.4542,-3.2115
Sca Fell,964,3163,Southern,54.4481,-3.225
Great End,910,2986,Southern,54.4639,-3.1939
Bowfell,902,2959,Southern,54.4475,-3.1658
Esk Pike,885,2904,Southern,54.4561,-3.18
Crinkle Crags,859,2818,Southern,54.4331,-3.1589
Lingmell,807,2648,Southern,54.4622,-3.2217
Coniston Old Man,803,2635,Southern,54.37,-3.1189
Swirl How,802,2631,Southern,54.3956,-3.1211
Brim Fell,796,2612,Southern,54.3778,-3.1239
Great Carrs,785,2575,Southern,54.3983,-3.1244
Allen Crags,785,2575,Southern,54.4661,-3.1803
Glaramara,783,2569,Southern,54.4833,-3.1653
Dow Crag,778,2552,Southern,54.3694,-3.1375
Grey Friar,773,2536,Southern,54.3928,-3.1428
Wetherlam,763,2503,Southern,54.4011,-3.0981
Slight Side,762,2500,Southern,54.4342,-3.2208
Pike o' Blisco,709,2326,Southern,54.4281,-3.1253
Cold Pike,701,2300,Southern,54.4211,-3.1339
Harter Fell,654,2146,Southern,54.3883,-3.2042
Rossett Pike,651,2136,Southern,54.4583,-3.16
Illgill Head,609,1998,Southern,54.4328,-3.2825
Seathwaite Fell,601,1972,Southern,54.4781,-3.1919
Rosthwaite Fell,551,1808,Southern,54.4961,-3.1517
Hard Knott,549,1801,Southern,54.4103,-3.1864
